name,crate,blocks,edges,stmt_count,treewidth,is_unsafe
"num::imp::dec2flt::fpu::fpu_precision::set_precision",core,1,0,0,0,0
"num::imp::dec2flt::slow::parse_long_mantissa",core,68,83,117,3,0
"<u16 as num::imp::dec2flt::float::CastInto<i16>>::cast",core,1,0,1,0,0
"<u32 as num::imp::dec2flt::float::CastInto<i16>>::cast",core,1,0,1,0,0
"<u64 as num::imp::dec2flt::float::CastInto<i16>>::cast",core,1,0,1,0,0
"num::imp::dec2flt::float::RawFloat::integer_decode",core,20,21,18,2,0
"num::imp::dec2flt::float::pow2_to_pow10",core,1,0,3,0,0
"<f16 as num::imp::dec2flt::float::RawFloat>::from_u64",core,3,2,2,1,0
"<f16 as num::imp::dec2flt::float::RawFloat>::from_u64_bits",core,2,1,2,1,0
"<f16 as num::imp::dec2flt::float::RawFloat>::pow10_fast_path",core,2,1,4,1,0
"<f16 as num::imp::dec2flt::float::RawFloat>::to_bits",core,2,1,0,1,0
"<f16 as num::imp::dec2flt::float::RawFloat>::classify",core,2,1,0,1,0
"<f32 as num::imp::dec2flt::float::RawFloat>::from_u64",core,3,2,2,1,0
"<f32 as num::imp::dec2flt::float::RawFloat>::from_u64_bits",core,2,1,2,1,0
"<f32 as num::imp::dec2flt::float::RawFloat>::pow10_fast_path",core,2,1,4,1,0
"<f32 as num::imp::dec2flt::float::RawFloat>::to_bits",core,2,1,0,1,0
"<f32 as num::imp::dec2flt::float::RawFloat>::classify",core,2,1,0,1,0
"<f64 as num::imp::dec2flt::float::RawFloat>::from_u64",core,3,2,2,1,0
"<f64 as num::imp::dec2flt::float::RawFloat>::from_u64_bits",core,2,1,0,1,0
"<f64 as num::imp::dec2flt::float::RawFloat>::pow10_fast_path",core,2,1,4,1,0
"<f64 as num::imp::dec2flt::float::RawFloat>::to_bits",core,2,1,0,1,0
"<f64 as num::imp::dec2flt::float::RawFloat>::classify",core,2,1,0,1,0
"num::imp::dec2flt::lemire::compute_float",core,62,76,126,3,0
"num::imp::dec2flt::lemire::power",core,5,4,7,1,0
"num::imp::dec2flt::lemire::full_multiplication",core,3,2,10,1,0
"num::imp::dec2flt::lemire::compute_product_approx",core,20,22,34,2,0
"num::imp::dec2flt::parse::parse_8digits",core,10,9,23,1,0
"num::imp::dec2flt::parse::try_parse_digits",core,12,13,16,2,0
"num::imp::dec2flt::parse::try_parse_19digits",core,11,13,18,3,0
"num::imp::dec2flt::parse::parse_scientific",core,20,27,33,3,0
"num::imp::dec2flt::parse::parse_partial_number",core,52,67,108,4,0
"num::imp::dec2flt::parse::parse_number",core,7,8,7,2,0
"num::imp::dec2flt::parse::parse_inf_nan",core,24,32,43,3,0
"num::imp::dec2flt::pfe_empty",core,1,0,2,0,0
"num::imp::dec2flt::pfe_invalid",core,1,0,2,0,0
"num::imp::dec2flt::biased_fp_to_float",core,3,2,7,1,0
"num::imp::dec2flt::dec2flt",core,41,55,49,3,0
"<num::imp::diy_float::Fp as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::diy_float::Fp as fmt::Debug>::fmt",core,2,1,8,1,0
"num::imp::diy_float::Fp::mul",core,6,5,16,1,0
"num::imp::diy_float::Fp::normalize",core,7,6,13,1,0
"num::imp::diy_float::Fp::normalize_to",core,9,8,24,1,0
"<num::imp::flt2dec::decoder::Decoded as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::flt2dec::decoder::Decoded as fmt::Debug>::fmt",core,2,1,17,1,0
"<num::imp::flt2dec::decoder::Decoded as cmp::PartialEq>::eq",core,7,10,16,2,0
"<num::imp::flt2dec::decoder::Decoded as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"<num::imp::flt2dec::decoder::FullDecoded as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::flt2dec::decoder::FullDecoded as fmt::Debug>::fmt",core,7,9,8,2,0
"<num::imp::flt2dec::decoder::FullDecoded as cmp::PartialEq>::eq",core,7,9,16,3,0
"<num::imp::flt2dec::decoder::FullDecoded as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"<f16 as num::imp::flt2dec::decoder::DecodableFloat>::min_pos_norm_value",core,1,0,1,0,0
"<f32 as num::imp::flt2dec::decoder::DecodableFloat>::min_pos_norm_value",core,1,0,1,0,0
"<f64 as num::imp::flt2dec::decoder::DecodableFloat>::min_pos_norm_value",core,1,0,1,0,0
"num::imp::flt2dec::decoder::decode",core,18,22,30,2,0
"num::imp::flt2dec::estimator::estimate_scaling_factor",core,7,6,14,1,0
"num::imp::flt2dec::strategy::dragon::mul_pow10",core,27,34,46,2,0
"num::imp::flt2dec::strategy::dragon::div_2pow10",core,11,11,20,2,0
"num::imp::flt2dec::strategy::dragon::div_rem_upto_16",core,24,27,16,2,0
"num::imp::flt2dec::strategy::dragon::format_shortest",core,92,101,132,3,0
"num::imp::flt2dec::strategy::dragon::format_exact",core,119,140,169,3,0
"num::imp::flt2dec::strategy::grisu::cached_power",core,11,11,30,2,0
"num::imp::flt2dec::strategy::grisu::max_pow10_no_more_than",core,22,30,20,2,0
"num::imp::flt2dec::strategy::grisu::format_shortest_opt",core,93,95,201,2,0
"num::imp::flt2dec::strategy::grisu::format_shortest_opt::round_and_weed",core,39,48,65,3,0
"num::imp::flt2dec::strategy::grisu::format_shortest",core,6,6,5,2,0
"num::imp::flt2dec::strategy::grisu::format_exact_opt",core,84,92,188,3,0
"num::imp::flt2dec::strategy::grisu::format_exact_opt::possibly_round",core,38,46,57,3,1
"num::imp::flt2dec::strategy::grisu::format_exact",core,6,6,5,2,0
"num::imp::flt2dec::round_up",core,18,19,22,2,0
"num::imp::flt2dec::digits_to_dec_str",core,67,72,138,3,0
"num::imp::flt2dec::digits_to_exp_str",core,52,57,102,2,0
"<num::imp::flt2dec::Sign as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::flt2dec::Sign as cmp::PartialEq>::eq",core,1,0,3,0,0
"<num::imp::flt2dec::Sign as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"<num::imp::flt2dec::Sign as fmt::Debug>::fmt",core,6,6,3,2,0
"num::imp::flt2dec::determine_sign",core,11,14,9,2,0
"num::imp::flt2dec::to_shortest_str",core,36,39,67,2,0
"num::imp::flt2dec::to_shortest_exp_str",core,44,51,72,3,0
"num::imp::flt2dec::estimate_max_buf_len",core,7,7,12,2,0
"num::imp::flt2dec::to_exact_exp_str",core,53,60,91,2,0
"num::imp::flt2dec::to_exact_fixed_str",core,58,64,117,2,0
"<num::imp::fmt::Part<'a> as clone::Clone>::clone",core,1,0,1,0,0
"<num::imp::fmt::Part<'a> as cmp::PartialEq>::eq",core,11,16,31,3,0
"<num::imp::fmt::Part<'a> as cmp::Eq>::assert_fields_are_eq",core,1,0,0,0,0
"<num::imp::fmt::Part<'a> as fmt::Debug>::fmt",core,6,7,13,2,0
"num::imp::fmt::Part::<'a>::len",core,9,10,9,2,0
"num::imp::fmt::Part::<'a>::write",core,26,32,30,3,0
"<num::imp::fmt::Formatted<'a> as clone::Clone>::clone",core,1,0,5,0,0
"num::imp::fmt::Formatted::<'a>::len",core,6,5,4,1,0
"num::imp::fmt::Formatted::<'a>::write",core,22,26,19,3,0
"num::imp::int_bits::u8::prepare",core,13,14,34,2,0
"num::imp::int_bits::u8::extract_impl",core,9,9,20,2,0
"num::imp::int_bits::u8::deposit_impl",core,9,9,20,2,0
"num::imp::int_bits::u16::prepare",core,13,14,34,2,0
"num::imp::int_bits::u16::extract_impl",core,9,9,20,2,0
"num::imp::int_bits::u16::deposit_impl",core,9,9,20,2,0
"num::imp::int_bits::u32::prepare",core,13,14,34,2,0
"num::imp::int_bits::u32::extract_impl",core,9,9,20,2,0
"num::imp::int_bits::u32::deposit_impl",core,9,9,20,2,0
"num::imp::int_bits::u64::prepare",core,13,14,34,2,0
"num::imp::int_bits::u64::extract_impl",core,9,9,20,2,0
"num::imp::int_bits::u64::deposit_impl",core,9,9,20,2,0
"num::imp::int_bits::u128::prepare",core,13,14,34,2,0
"num::imp::int_bits::u128::extract_impl",core,9,9,20,2,0
"num::imp::int_bits::u128::deposit_impl",core,9,9,20,2,0
"num::imp::int_log10::u8_impl",core,4,3,9,1,0
"num::imp::int_log10::less_than_5",core,6,5,14,1,0
"num::imp::int_log10::u16_impl",core,2,1,1,1,0
"num::imp::int_log10::u32_impl",core,7,7,11,2,0
"num::imp::int_log10::u64_impl",core,11,12,18,2,0
"num::imp::int_log10::u128_impl",core,14,15,23,2,0
"num::imp::int_log10::u8",core,4,3,1,1,0
"num::imp::int_log10::u16",core,4,3,1,1,0
"num::imp::int_log10::u32",core,4,3,1,1,0
"num::imp::int_log10::u64",core,4,3,1,1,0
"num::imp::int_log10::u128",core,4,3,1,1,0
"num::imp::int_log10::usize",core,4,3,1,1,0
"num::imp::int_log10::i8",core,7,7,4,2,0
"num::imp::int_log10::i16",core,7,7,4,2,0
"num::imp::int_log10::i32",core,7,7,4,2,0
"num::imp::int_log10::i64",core,7,7,4,2,0
"num::imp::int_log10::i128",core,7,7,4,2,0
"num::imp::int_log10::panic_for_nonpositive_argument",core,2,1,0,1,0
"num::imp::int_sqrt::u8",core,2,1,4,1,0
"num::imp::int_sqrt::i8",core,5,4,3,1,1
